Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
497,Mike Marshall,31,2TM,AL,-0.1,24,69,69,4,18,4,0,1,7,0,0,0,20,.261,.261,.362,.623,68,.290,65,25,2,0,0,0,0,/DH397,,marshmi02
498,Mike Marshall,31,BOS,AL,0.1,22,62,62,4,18,4,0,1,7,0,0,0,19,.290,.290,.403,.694,87,.323,87,25,2,0,0,0,0,/DH397,,marshmi02
499,Mike Marshall,31,CAL,AL,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-133,0,0,0,0,0,0,/3DH,,marshmi02
500,José de Jesús,26,PHI,NL,-0.2,31,68,62,3,8,0,0,0,4,0,0,2,39,.129,.156,.129,.285,-18,.136,-48,8,0,0,4,0,0,1,,dejesjo01
501,Mark McLemore#,26,HOU,NL,-0.4,21,68,61,6,9,1,0,0,2,0,1,6,13,.148,.221,.164,.385,14,.181,5,10,1,0,0,1,0,4/H,,mclemma01
502,Freddie Benavides,25,CIN,NL,-0.2,24,67,63,11,18,1,0,0,3,1,0,1,15,.286,.303,.302,.605,68,.288,61,19,1,1,1,1,1,6/4H,,benavfr01
503,John Burkett,26,SFG,NL,-0.3,36,67,55,0,5,1,0,0,1,0,0,3,26,.091,.138,.109,.247,-28,.122,-69,6,0,0,9,0,0,1,,burkejo03
504,Randy Tomlin*,25,PIT,NL,0.3,32,67,52,5,10,1,0,0,2,0,0,2,18,.192,.222,.212,.434,24,.237,17,11,2,0,13,0,0,1/H,,tomlira01
505,Sean Berry,25,KCR,AL,-0.4,31,66,60,5,8,3,0,0,1,0,0,5,23,.133,.212,.183,.395,11,.193,1,11,1,1,0,0,0,5/H,,berryse01
506,Bob Ojeda*,33,LAD,NL,0.1,31,66,56,2,9,0,0,1,3,0,0,3,10,.161,.200,.214,.414,18,.208,5,12,1,0,6,1,0,1,,ojedabo01
507,Jim Presley,29,SDP,NL,-1.2,20,66,59,3,8,0,0,1,5,0,1,4,16,.136,.200,.186,.386,8,.170,-17,11,2,1,1,1,1,5/H,,preslji01
508,Lee Stevens*,23,CAL,AL,0.0,18,66,58,8,17,7,0,0,9,1,2,6,12,.293,.354,.414,.768,113,.321,100,24,0,0,1,1,2,3/97,,stevele01
509,Tim Naehring,24,BOS,AL,-0.5,20,65,55,1,6,1,0,0,3,0,0,6,15,.109,.197,.127,.324,-10,.182,-20,7,0,0,4,0,0,6/54H,,naehrti01
510,Gary Disarcina,23,CAL,AL,-0.1,18,64,57,5,12,2,0,0,3,0,0,3,4,.211,.274,.246,.520,46,.248,38,14,0,2,2,0,0,6/45,,disarga01
511,Trevor Wilson*,25,SFG,NL,0.6,48,64,51,7,12,1,0,1,5,0,0,4,16,.235,.304,.314,.617,78,.305,83,16,2,1,8,0,0,1/H,,wilsotr01
512,John Vander Wal*,25,MON,NL,-0.2,21,63,61,4,13,4,1,1,8,0,0,1,18,.213,.222,.361,.583,62,.256,47,22,2,0,0,1,0,7/H,,vandejo02
513,Ken Hill,25,STL,NL,-0.1,30,61,50,2,5,0,0,0,3,0,0,4,12,.100,.167,.100,.267,-23,.154,-44,5,0,0,7,0,0,1,,hillke01
514,Tom Lampkin*,27,SDP,NL,-0.1,38,61,58,4,11,3,1,0,3,0,0,3,9,.190,.230,.276,.505,40,.246,36,16,0,0,0,0,0,H2,,lampkto01
515,Óscar Azócar*,26,SDP,NL,-0.5,38,60,57,5,14,2,0,0,9,2,0,1,9,.246,.267,.281,.547,53,.267,44,16,1,1,0,1,1,H7/39,,azocaos01
516,Mark Gardner,29,MON,NL,-0.2,27,60,55,1,5,0,0,0,4,0,0,1,18,.091,.107,.091,.198,-43,.127,-56,5,0,0,4,0,0,1,,gardnma01
517,Mark Salas*,30,DET,AL,-0.9,33,60,57,2,5,1,0,1,7,0,0,0,10,.088,.117,.158,.275,-25,.127,-48,9,0,2,0,1,0,H2/D3,,salasma01
518,Brian Barnes*,24,MON,NL,-0.1,28,59,49,1,4,0,0,0,1,0,0,7,19,.082,.196,.082,.278,-18,.153,-34,4,0,0,3,0,0,1,,barnebr01
519,Torey Lovullo#,25,NYY,AL,-0.5,22,59,51,0,9,2,0,0,2,0,0,5,7,.176,.250,.216,.466,31,.215,10,11,0,0,3,0,1,5/H,,lovulto01
520,Luis Mercedes,23,BAL,AL,-0.6,19,59,54,10,11,2,0,0,2,0,0,4,9,.204,.259,.241,.499,42,.268,56,13,1,0,1,0,0,7/H9D,,mercelu01
521,Omar Olivares,23,STL,NL,0.5,28,59,53,4,12,3,0,0,6,0,0,2,16,.226,.255,.283,.538,52,.263,47,15,0,0,4,0,0,1,,olivaom01
522,José Tolentino*,30,HOU,NL,-0.1,44,59,54,6,14,4,0,1,6,0,0,4,9,.259,.305,.389,.694,101,.312,94,21,2,0,0,1,0,H3/7,,tolenjo01
